,feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,gene
70,MA0641.1,0,-0.0364751542124085,-0.0110961544958331,5125414.5,0.505309660266135,0.52605932850695,0.545894352368688,100,100,ELF4
71,MA0136.2,0,-0.273472362901026,-0.249730414021799,4715343,0.464881107541312,2.7453490072726e-05,3.74527138276629e-05,100,100,ELF5
72,MA0027.2,0,-0.170943074624786,-0.180697329845253,4578485,0.451388409636644,6.44364847128366e-09,1.04854228337341e-08,100,100,EN1
73,MA0642.1,0,-0.162259208682096,-0.167792833434911,4614404,0.454929629119888,7.36826551757638e-08,1.13482045562673e-07,100,100,EN2
74,MA0644.1,0,-0.194255869932263,-0.215230200121822,4428251,0.436576984823993,3.63347870422625e-14,7.16508417375457e-14,100,100,ESX1
75,MA0645.1,0,-0.350050555214746,-0.345477711149169,4449898,0.438711141625512,2.50499319569361e-13,4.80503240264865e-13,100,100,ETV6
76,MA0475.2,0,0.0802972322814793,0.0875320724632562,5305824,0.523096058449889,0.00581654661802087,0.00705339848507129,100,100,FLI1
77,MA0042.2,0,0.307239355885993,0.35886771338281,6098856,0.601280316620652,1.13463652740477e-33,3.84077498314022e-33,100,100,FOXI1
78,MA0033.2,0,0.307239355885993,0.35886771338281,6098856,0.601280316620652,1.13463652740477e-33,3.84077498314022e-33,100,100,FOXL1
79,MA0157.2,0,0.313141750888532,0.363660272092617,6080952.5,0.599515227864889,1.44480668058748e-32,4.66613586128507e-32,100,100,FOXO3
80,MA0646.1,0,-0.0173794721057287,0.0168963916579153,5140139,0.506761334485379,0.419447175139417,0.441046614390782,100,100,GCM1
81,MA0647.1,0,0.0205253863804606,0.0603585705346682,5252478,0.517836727885198,0.0331782952247799,0.0377731310742548,100,100,GRHL1
82,MA0648.1,0,-0.130608844231653,-0.115761724955057,4783090,0.471560218773008,0.000683648176425391,0.000876010719994479,100,100,GSC
83,MA0649.1,0,-0.228980446911388,-0.210445309242296,4554563,0.449029962784612,1.15445848558677e-09,1.93325984491118e-09,100,100,HEY2
84,MA0131.2,0,-0.238360184686951,-0.232094430245388,4372826,0.431112687659295,1.93589178425522e-16,4.09839297469416e-16,100,100,HINFP
85,MA0046.2,0,-0.0992584346696129,-0.0706607732081346,4873983,0.48052127176698,0.0200188635894445,0.0233369072783027,100,100,HNF1A
86,MA0153.2,0,-0.292251115557142,-0.289871968672432,4223633,0.416403894030197,1.82012692504697e-23,4.6645358038653e-23,100,100,HNF1B
87,MA0651.1,0,-0.0977580530446971,-0.100289157978175,4788552,0.472098712072306,0.000863012865098013,0.00109916930303228,100,100,HOXC11
88,MA0486.2,0,-0.262153511299133,-0.27274954328012,4341245,0.427999147402041,8.12710914441807e-18,1.79876226867715e-17,100,100,HSF1
89,MA0652.1,0,-1.21458330875847,-1.20234827113897,3454906,0.340615842311179,9.18993961616936e-81,7.65425233820422e-80,100,100,IRF8
90,MA0653.1,0,-1.02471033201856,-0.992176790077982,3614034,0.356304117985045,5.37844241123819e-66,3.50984953228224e-65,100,100,IRF9
91,MA0654.1,0,-0.131356926435987,-0.146832636288742,4625508,0.456024361744458,1.51089456985894e-07,2.24506164957913e-07,100,100,ISX
92,MA0655.1,0,-3.42292065620814,-3.88195194474567,1348608.5,0.13295800817027,0,0,100,100,JDP2
93,MA0656.1,0,-0.4108561273103,-0.486087607141427,3976340,0.392023516244909,4.88329134547824e-38,1.86212254318538e-37,100,100,JDP2(var.2)
94,MA0657.1,0,-0.11143006002648,-0.110532807075301,4864328,0.479569394651505,0.0147010915785792,0.0174592701111457,100,100,KLF13
